pixel_id,success,status,message,iterations,objective_slsqp,objective_face,objective_face_minus_slsqp,max_abs_abundance_difference,slsqp_asc_error,slsqp_anc_violation
368,True,0,Optimization terminated successfully,4,2.046870645536165,2.046870645536136,-2.930988785010413e-14,1.1879386363489175e-14,5.329070518200751e-15,0
430,True,0,Optimization terminated successfully,6,0.26566642899248666,0.2656664289924865,-1.6653345369377348e-16,2.1094237467877974e-15,1.5543122344752192e-15,0
454,True,0,Optimization terminated successfully,4,0.16219503561401297,0.16219503561400922,-3.747002708109903e-15,4.773959005888173e-15,1.5543122344752192e-15,0
577,True,0,Optimization terminated successfully,6,0.03260535989603,0.03260535989603,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0
618,True,0,Optimization terminated successfully,4,0.2465572187866243,0.24655721878662473,4.440892098500626e-16,8.291978215169138e-16,2.220446049250313e-16,0
747,True,0,Optimization terminated successfully,4,0.11507673301218205,0.11507673301218203,-1.3877787807814457e-17,5.551115123125783e-16,2.220446049250313e-16,0
769,True,0,Optimization terminated successfully,4,0.42162920317957325,0.4216292031795747,1.4432899320127035e-15,9.992007221626409e-16,6.661338147750939e-16,0
856,True,0,Optimization terminated successfully,4,0.7800951000341516,0.7800951000341735,2.1871393585115584e-14,8.460987816956054e-15,5.551115123125783e-15,0
873,True,0,Optimization terminated successfully,6,0.02295204080154346,0.022952040801543457,-3.469446951953614e-18,1.3877787807814457e-16,0.0,0
974,True,0,Optimization terminated successfully,6,0.005981728263372859,0.005981728263372858,-8.673617379884035e-19,1.1102230246251565e-16,0.0,0
976,True,0,Optimization terminated successfully,4,0.011099823666843162,0.011099823666843159,-3.469446951953614e-18,1.1102230246251565e-16,1.1102230246251565e-16,0
987,True,0,Optimization terminated successfully,4,1.2623220202675096,1.2623220202675367,2.708944180085382e-14,7.104523501911611e-15,3.9968028886505635e-15,0
1183,True,0,Optimization terminated successfully,6,0.011221417944903564,0.01122141794490357,5.204170427930421e-18,1.491862189340054e-16,0.0,0
1261,True,0,Optimization terminated successfully,4,0.017604646651207007,0.017604646651207,-6.938893903907228e-18,7.28583859910259e-17,0.0,0
